tag,Total_Videos,Total_Views,Total_Likes,Total_Comments,Avg_Engagement_Rate
đáng ra anh không nên,3,1165449,27903,1272,0.025033270439118304
nhac tre hay nhat hien nay,6,1151769,5051,206,0.007923786791284018
remix 2026,4,1133929,5075,187,0.009524180323213099
tim em lofi,2,1112322,3400,116,0.0031254039465936
chill,6,1093260,3704,182,0.002799746846044167
nhac tiktok hay 2026,3,1092230,3993,178,0.0039776747739007
nhạc hot tiktok hiện nay,5,1069477,4467,188,0.00804546146835676
tft,3,1049554,5981,66,0.005985074175886534
bolero không quảng cáo,3,1049407,2986,203,0.0033965577519413
ff,3,1044243,20159,2225,0.020757089842146432
jaygray,3,1044243,20159,2225,0.020757089842146432
channel,3,1044243,20159,2225,0.020757089842146432
tv,3,1044243,20159,2225,0.020757089842146432
vietnam,3,1044243,20159,2225,0.020757089842146432
truong hoc,3,1044243,20159,2225,0.020757089842146432
obby,3,1044243,20159,2225,0.020757089842146432
nonstop 2026,7,1037365,22209,229,0.020681753698875417
nhạc chill tiktok,5,1034311,3563,173,0.00285078172985038
nhạc tik tok,4,1030825,2723,201,0.00190032872691645
bqthanh,2,1027630,10859,850,0.01167765920397135
nhạc remix mới nhất,3,1020527,18220,153,0.012112380212476766
noob,3,1018196,21327,1997,0.019699108506636934
roblox shorts,3,1005716,18022,2348,0.015921505053546132
nhac moi,4,972307,5058,405,0.01095951762322075
redhood,2,963820,18694,2116,0.021349876957616802
sinh to team,2,963820,18694,2116,0.021349876957616802
kinh di,2,963820,18694,2116,0.021349876957616802
hoàng acc,2,958026,13238,1716,0.01434919641554705
nhac buon,4,948201,3563,150,0.003496702107150975
lofi,4,948201,3563,150,0.003496702107150975
lofi chill,4,948201,3563,150,0.003496702107150975
nhac chill,4,948201,3563,150,0.003496702107150975
nhac lofi,4,948201,3563,150,0.003496702107150975
anh gà mc,2,940804,13087,1736,0.0145171121147726
nhạc bolero,5,940169,5538,195,0.00669925522902806
mashup remix,5,935977,4190,161,0.00822771686893708
mod,2,930163,13678,1554,0.01544943768062445
game vui,2,900546,15090,1041,0.018020039907275298
rpt mck,2,898860,66176,5374,0.0796008277151058
mck,2,898860,66176,5374,0.0796008277151058
viet mix,3,881835,4950,190,0.0166833321728498
nhạc chill nhẹ nhàng,3,877011,3563,126,0.004553380258293033
chơi game vui,2,866889,10074,479,0.01211960063028295
deann,2,861864,2372,72,0.0028357142194128
cà na,2,850794,12498,1739,0.0165107458158975
t gaming,2,845606,12932,1695,0.0184322778892131
noob t gaming,2,845606,12932,1695,0.0184322778892131
nhạc vàng xưa,5,840597,5446,197,0.00882313827354252
dtcl,2,828556,4390,66,0.0053780311771322
nhac tru tinh,7,822678,2740,118,0.005053687119670329
nhạc trữ tình hải ngoại,2,806321,2696,70,0.00635841663153705
nhạc sống remix,7,799995,3188,126,0.0033995900810534
bolero,6,795667,3661,206,0.006945368229896168
nonstop,4,764279,19982,138,0.02533914057349025
lol,5,756931,6683,333,0.010250626149313
bolero hải ngoại,2,754394,1971,63,0.0042854451153070995
gta v,2,750810,4145,121,0.0061759211216109
mèo simmy,3,747429,10028,886,0.015541923665383567
phong cận tv,2,743784,20442,2241,0.031763933067104955
game hài,3,738334,18198,642,0.025650659998422
học sinh,2,736706,23867,2278,0.0395816384717497
nhạc sống,5,730553,3973,134,0.00470964222456754
slenderman,3,726921,15786,1720,0.019590526827974634
ca sĩ giấu mặt,5,725769,2715,155,0.0046110266559306395
ca sĩ giấu mặt cover,5,725769,2715,155,0.0046110266559306395
nonstop vinahouse 2026,3,722580,18900,129,0.0250642884409369
nhac vang,6,712939,3387,90,0.00697921972660845
vinahouse 2026,3,711336,17755,83,0.019417867502340133
vn,4,709195,11754,764,0.020757458810114322
phong can,2,709142,14152,1321,0.02505064888288565
youtube,2,702064,17577,1358,0.0328683542875304
sammy,2,701983,11105,1051,0.018599120670379
game hành động,2,697945,6379,165,0.01138366401798425
garena,3,672283,5274,202,0.008973230952243534
update,3,670388,4922,441,0.0079180890854995
nhac remix tiktok,2,669637,16673,74,0.01604495276793505
game bựa,2,668000,6224,301,0.0126024117522562
bolero hay nhất,4,659210,3192,107,0.0070650015235225756
game roblox,3,643366,7834,448,0.011932948725958866
atsh,2,626959,31831,3428,0.055235487854308554
100 ngay minecraft,2,624113,21682,1292,0.0332529433786047
minecraft 100 ngày,2,624113,21682,1292,0.0332529433786047
100 ngay,2,624113,21682,1292,0.0332529433786047
channy,2,621663,9708,428,0.017464861695048052
simmy,2,608534,8958,720,0.017315170192666297
nhạc vàng remix,5,603012,2843,89,0.00398366452228528
bolero remix,5,603012,2843,89,0.00398366452228528
dj,4,601184,4485,139,0.01806830817863955
hk15,3,595816,16943,518,0.029525988642096036
ckg,3,595816,16943,518,0.029525988642096036
team,2,579654,13957,1627,0.023817338376520898
hoat hinh,2,579654,13957,1627,0.023817338376520898
youtubevn,2,579654,13957,1627,0.023817338376520898
mc,2,579654,13957,1627,0.023817338376520898
thu thach,2,579654,13957,1627,0.023817338376520898
rb,2,579654,13957,1627,0.023817338376520898
nhạc test loa,4,579334,2716,106,0.00407815307195555
nhạc bolero hay nhất,3,576567,3804,61,0.0077250310313706
ca nhạc,5,570913,1921,90,0.0058792506149641
em bán đi hết chân tình cover,2,570065,1769,104,0.00323968889275855
em ban di het chan tinh,2,570065,1769,104,0.00323968889275855
funny game,2,560059,10906,339,0.021830605137139202
du hạo,2,555510,3964,384,0.007827041817429
trực tiếp game,2,555481,6756,176,0.012756411065411349
tro choi,2,545012,7667,707,0.0171040541923016
minigame,2,545012,7667,707,0.0171040541923016
do choi,2,545012,7667,707,0.0171040541923016
hoc sinh,2,545012,7667,707,0.0171040541923016
dien thoai,2,545012,7667,707,0.0171040541923016
nhạc trữ tình remix,4,542414,2625,84,0.004059583293207775
h2o remix,3,538244,2629,114,0.010196478690628867
esport liên quân,2,531671,6704,871,0.0150540219603678
lien quan mobile,2,531671,6704,871,0.0150540219603678
trực tiếp liên quân,2,531671,6704,871,0.0150540219603678
châu khải phong,3,524646,7590,975,0.0163252936265596
nhạc sàn,2,506542,1176,75,0.00150328797823365
chicken gang,2,498994,11718,404,0.0242928772690653
sangtraan valorant,2,498994,11718,404,0.0242928772690653
99 nights in the forest,2,489745,3910,373,0.008887812148867299
phong cận blox fruits,2,489106,15900,1446,0.0354647049923738
wean lê,2,487774,11238,652,0.0243760430035221
mua con roi tren pho,2,487774,11238,652,0.0243760430035221
mưa còn rơi trên phố wean,2,487774,11238,652,0.0243760430035221
wean,2,487774,11238,652,0.0243760430035221
wean mưa còn rơi trên phố,2,487774,11238,652,0.0243760430035221
nhạc trữ tình bolero,2,486607,1420,158,0.00338169850417525
nhạc trẻ remix 2026,2,484997,3403,120,0.02298764296567885
music,2,474950,22750,1520,0.0511001158016633
giải trí,2,474543,16413,1025,0.03673461254338145
valorant,3,465530,10084,202,0.0211644446707363
nhạc vàng hay nhất,2,458080,2842,168,0.0065330942791343004
nhạc cover,4,456504,2396,294,0.00633322533167315
minecraft bất ổn,2,454296,5183,282,0.01203596739608545
nhạc chill buồn,5,453384,1622,113,0.0026873784536867
việt mix,2,449781,3774,125,0.02358883518706615
sksp,2,445687,6392,504,0.016654879652021448
csgo,2,441309,5297,85,0.01438493029810815
mixi,2,441309,5297,85,0.01438493029810815
pubg,2,441309,5297,85,0.01438493029810815
nhạc trend tiktok,2,438537,2629,79,0.015119203779171
thne roblox,2,438284,4750,2504,0.0165509121939199
thne,2,438284,4750,2504,0.0165509121939199
ca nhạc trữ tình,3,431570,1005,58,0.0034928269010486668
talkshow,2,426016,6096,147,0.0198280672152812
ness remix,3,404744,2352,87,0.010500237691596066
cover,3,396862,1667,258,0.0046121000490829
nhạc bolero remix,2,393652,2207,80,0.00528242064323115
nhạc disco bolero,2,393652,2207,80,0.00528242064323115
lk bolero remix,2,393652,2207,80,0.00528242064323115
lk disco bolero,2,393652,2207,80,0.00528242064323115
nhạc nhảy,2,393652,2207,80,0.00528242064323115
nhac bolero tru tinh,2,393458,1002,59,0.0032057364718421502
ca si giau mat,2,387423,1979,106,0.0061791858315197
ca si giau mat cover,2,387423,1979,106,0.0061791858315197
lmht,3,387414,4245,333,0.012783665514303702
karaoke,2,384438,0,16,4.161919477262914e-05
nhac vang hai ngoai,3,381186,2963,41,0.006663907816227134
nhạc xưa,3,376817,841,45,0.0033345407165374335
rov,2,375699,6722,912,0.018561721148240902
raipow,2,374492,6396,526,0.0184837059269623
nhac bolero,3,370520,2330,47,0.006740796462997499
đtcl,2,369517,2438,0,0.006451067101826949
bolero trữ tình hay nhất,2,363509,1430,45,0.00597874518780165
lk nhạc vàng xưa,2,363509,1430,45,0.00597874518780165
nhac cover,3,363429,1715,257,0.005872897451810966
trốn tìm vẽ,2,355635,8996,264,0.027216441837909347
nhạc lính hải ngoại,3,353990,4026,39,0.012450764786454035
nhạc lính xưa,3,353990,4026,39,0.012450764786454035
nhạc lính,3,353990,4026,39,0.012450764786454035
ru ngủ đêm khuya,2,353495,3104,25,0.0082398743670798
đến là duyên đi là phận,2,349764,5060,650,0.0163252936265596
hk15 bảo hoàng,2,346319,11084,316,0.0321425443286114
minecraft gaming,2,346205,6963,314,0.02079937110392005
+1 speed keyboard escape,3,344826,5099,125,0.018266789938206
99 đêm trong rừng,2,333974,2601,379,0.011081915935306899
thương thì thương,2,333622,5048,930,0.0179184825940735
99 ngày trong rừng,2,332127,3256,468,0.01169578420235425
ballad,2,323585,11375,783,0.02568360801115565
lk nhạc sống,2,322752,1859,73,0.0059308584171329
viral,2,317898,12840,869,0.0353358157064345
nhac chill tiktok,3,308325,1481,81,0.0035417398735908003
nhạc lofi 2026,3,308325,1481,81,0.0035417398735908003
