video_id,title,title_length,has_number_in_title,has_emoji,channelId,channelTitle,categoryId,categoryName,publishedAt_vn,publish_date,publish_hour,day_of_week,days_since_published,duration,duration_sec,duration_bucket,viewCount,likeCount,commentCount,engagement_rate,like_rate,comment_rate,tags,tag_count,thumbnail_link
v4RFLXwrsHA,ĐẾN LÀ DUYÊN ĐI LÀ PHẬN || CHÂU KHẢI PHONG x LÊ GIA QUÂN || OFFICIAL MUSIC VIDEO,80,False,False,UCoISHZnrIOn4SunyqjrRt4w,Châu Khải Phong,10,Music,2026-07-08 19:00:06+07:00,2026-07-08,19,Wednesday,3,PT6M22S,382,5-10 mins,63171,1712,252,0.031090215446961424,0.027101043200202624,0.0039891722467587975,châu khải phong|chau khai phong|nhạc trẻ|Đến Là Duyên Đi Là Phận|Châu Khải Phong|ĐẾN LÀ DUYÊN ĐI LÀ PHẬN|CHÂU KHẢI PHONG|LÊ GIA QUÂN|Lê Gia Quân ft Lê Gia Quân,9,https://i.ytimg.com/vi/v4RFLXwrsHA/hqdefault.jpg
Ya0bTJ0qGKI,CRIEI UM SCANNER PRA ENCONTRAR O GOLEM DO MAL,45,False,False,UC6P6SvP2arhEdJ9Pg8qwP2A,Athos,20,Gaming,2026-07-05 20:30:02+07:00,2026-07-05,20,Sunday,6,PT20M34S,1234,10-30 mins,1649416,16397,115,0.010010815949402698,0.009941094302468267,6.972164693443013e-05,minecraft|athos|athos gamer|minecraft pe|bedrock|java|pocket edition|maniqueft|SCANNER|ENCONTRAR|GOLEM,11,https://i.ytimg.com/vi/Ya0bTJ0qGKI/hqdefault.jpg
MrfyPNq_i_E,Ai Gieo Thương Nhớ Đồng Xa (Remix) | Bolero Trữ Tình Remix 2026 | Sáng tác: Tiến Võ,83,True,False,UCcRXIoBiqeRqMVAxWi-aoKg,Tiến võ ,10,Music,2026-06-29 19:00:17+07:00,2026-06-29,19,Monday,12,PT4M39S,279,3-5 mins,183842,658,84,0.004036074455238738,0.003579160365966428,0.0004569140892723099,#AiGieoThuongNhoDongXa|#AiGieoThuongNhoDongXaRemix|#TienVo|#BoleroRemix|#BoleroTruTinh|#DanCaRemix|#NhacMienTay|#NhacQueHuong|#Remix2026|#NhacHay2026|#NhacViet|#TikTokMusic|#YouTubeMusic|#ViralMusic|#BoleroHay,15,https://i.ytimg.com/vi/MrfyPNq_i_E/hqdefault.jpg
4S5mDq4-EwY,🔴 GTA 5 LIVE – DON’T BLINK! SECRET MOD ACTIVATED 🤯 #gtalive #gtaonline,70,True,True,UC9OTne2HnCn_kkyx8NodI-g,Pixel Hunters,20,Gaming,2026-07-10 03:03:41+07:00,2026-07-10,3,Friday,1,PT10H39M36S,38376,> 30 mins,11744949,32558,5,0.0027725109747177277,0.002772085259799766,4.257149179617553e-07,gta 5 live|gta v live stream|gta 5 gameplay|gta 5 online|gta 5 rp live|gta 5 police chase|gta 5 mission gameplay|gta 5 mods|gta 5 new update|gta 5 online missions|gta 5 car mods|gta 5 story mode|gta 5 chaos mod|gta 5 action gameplay|gta 5 epic gameplay|gta 5 livestream|gta online live|gta v online|gta 5 no commentary|gta 5 free roam|gta 5 gangster gameplay|gta 5 open world|gta 5 stream|gta 5 fivem|gta 5 gaming live,25,https://i.ytimg.com/vi/4S5mDq4-EwY/hqdefault.jpg
hSxQln8dIQQ,Kai Đinh x ERIK - ‘Váy Cưới’ | Lyrics Video | From the Wedding of Ms. Vien Vibi and Mr. Linh,92,False,False,UCWsBf9OjYMs_fR6C7AzMojg,Kai Dinh Official,10,Music,2026-06-26 20:00:14+07:00,2026-06-26,20,Friday,15,PT3M44S,224,3-5 mins,322759,828,14,0.002608757617913056,0.002565381600513076,4.337601739997955e-05,kai dinh official|kai đinh|kai đinh cover|kai đinh live|kai đinh playlist|kai đinh sing my song|kai dinh nhac hay|nhạc mới kai dinh|lễ đường mv|le duong kai dinh|lễ đường kaidinh|từ 1 sẽ thành 2|từ 1 sẽ thành 2 kaidinh|lễ đường|lễ đường kai đinh|lễ đường official mv|em vẫn chờ 1 người|em vẫn chờ một người|em vẫn chờ 1 người sẽ đến bên mình|em vẫn chờ một người sẽ đến bên mình,20,https://i.ytimg.com/vi/hSxQln8dIQQ/hqdefault.jpg
jt0ZSwdp1A0,THNE PHÁT HIỆN THẦY TRÒ KẾT HỢP VÀ 1 CẦN CÂU ĐẠI CHIẾN TRONG CÂU CÁ VẠN CÂN,75,True,False,UC9NAynTbEflLno9n4Huv-Mg,THNE Roblox,20,Gaming,2026-07-08 17:18:05+07:00,2026-07-08,17,Wednesday,3,PT15M24S,924,10-30 mins,131582,2463,2088,0.034586797586296,0.018718365733914975,0.015868431852381026,roblox|THNE ROBLOX|THNE Roblox|thne|THNE|cach choi cau ca van can|cach tai game cau ca van can|câu cá vạn cân|câu cá vạn cân game|game câu cá vạn cân|THNE PHÁT HIỆN THẦY TRÒ KẾT HỢP VÀ 1 CẦN CÂU ĐẠI CHIẾN TRONG CÂU CÁ VẠN CÂN,11,https://i.ytimg.com/vi/jt0ZSwdp1A0/hqdefault.jpg
wPxp4hieQO8,níu kéo mãi không phải cách - Bảo Anh x HYO | Official Music Video,66,False,False,UCRWrdiC0N2AFnDfbfgy2-7w,Bảo Anh,10,Music,2026-06-25 20:00:06+07:00,2026-06-25,20,Thursday,16,PT4M11S,251,3-5 mins,390445,5711,289,0.015367081150994378,0.014626900075554816,0.0007401810754395626,níu kéo mãi không phải cách - Bảo Anh ft HYO|BẢO ANH|bao anh|bảo anh|ca sĩ bảo anh|nhạc bảo anh|bảo anh mv mới|mv bảo anh|níu kéo mãi không phải cách|bao anh mv|teaser mv mới bảo anh|bảo anh hyo|em xinh bảo anh|níu kéo mãi không phải cách bảo anh|níu kéo mãi không phải cách bảo anh hyo|niu keo mai khong phai cach|mv niu keo mai không phải cách|mv níu kéo mãi không phải cách|mv mới bảo anh|BẢO ANH HYO|BAO ANH|ca si bao anh|bảo anh remix|bao anh hyo,24,https://i.ytimg.com/vi/wPxp4hieQO8/hqdefault.jpg
Zlre9Tgnqu8,BEDY C.ÂU TẤT CẢ C.Á TRÁI CÂY HIẾM Ở NHÀ MỚI VÀ CÁI KẾT | PLAY TOGETHER,71,False,False,UC6-B6N5F-sxDGOzF8Vd4m2Q,BEDY TOGETHER,20,Gaming,2026-07-09 15:30:30+07:00,2026-07-09,15,Thursday,2,PT13M45S,825,10-30 mins,87405,1544,103,0.01884331559979406,0.017664893312739547,0.0011784222870545164,playtogether|BEDY TOGETHER|bedy|meo cơ trưởng|bedy together,5,https://i.ytimg.com/vi/Zlre9Tgnqu8/hqdefault.jpg
GAK371lhPlk,UPRIZE 'First Dance' (Mải mê) | Debut Album 'THĂNG',51,False,False,UC9zds8lqNOAF3di67mAktuA,SYE Official,10,Music,2026-07-02 19:00:22+07:00,2026-07-02,19,Thursday,9,PT4M3S,243,3-5 mins,191861,6600,1280,0.04107140064942849,0.03439990409723706,0.0066714965521914305,SYE|SYE Official|SYE Channel|UPRIZE|nhóm nhạc uprize|boygroup uprize|uprize debut album thăng|uprize debut album|uprize csl|crazy stupid love uprize|uprize crazy stupid love|first dance uprize|uprize first dance|first dance mãi mê uprize|mãi mê uprize|uprize mãi mê|uprize mv visualizer|mv visualizer uprize|o.d|bex|lavm|pn|wonbi|leon|dylan|first dance mãi mê|tân binh toàn năng|uprize|mv uprize|mv visual uprize|mai me uprize,31,https://i.ytimg.com/vi/GAK371lhPlk/hqdefault.jpg
_8g3KMIrFZE,TRỐN TÌM VỚI HỌA SĨ ÉP TÔI PHẢI BIẾT VẼ,39,False,False,UCjfJ3MU6kwTz15eG2lYM0Gw,Bảo Hoàng,20,Gaming,2026-07-06 18:30:04+07:00,2026-07-06,18,Monday,5,PT23M17S,1397,10-30 mins,178190,4715,56,0.026774790953476627,0.026460519670015153,0.0003142712834614737,bảo hoàng ckg|ckg bảo hoàng|bao hoang ckg|ckg bao hoang|baohoang|hk15|hk15 bảo hoàng|ckg|talkshow|bảo hoàng talkshow|game|bảo hoàng live stream|acn|cận thị tg|meccha|meccha chameleon|trốn tìm|trốn tìm vẽ|meca|meca chameleon|ckg trốn tìm|ckg meccha|ckg meca chameleon,23,https://i.ytimg.com/vi/_8g3KMIrFZE/hqdefault.jpg
